family_income_category,parent_education_level,prior_academic_performance,school_resources_rating,distance_to_school_km,transportation_access,special_education_needs,language_barrier,family_support,peer_influence,extracurricular_participation,school_climate,attendance_rate,dropout_probability
Upper Middle,Some College,3.61251442373177,,0.7423911971132061,Walk,Moderate,None,None,Negative,Active,Poor,77.52779276372193,0.025292386219286533
Low Income,High School,2.4204884380511897,Good,10.995187301633456,Walk,Mild,Major,Low,Positive,None,Fair,67.67853046889296,0.09013261920653715
Middle Class,Graduate,3.787923214025683,Poor,16.58186286184638,,Mild,Minor,Low,Negative,Some,Poor,89.12302259586409,0.5013289767105763
,,2.425984993808532,Excellent,22.6948901503276,Bus,None,Minor,None,Positive,Active,Poor,83.8028809394273,0.1673120454536544
Middle Class,Graduate,2.093644914123265,Excellent,11.506868456209443,Walk,Mild,Minor,Low,Positive,Some,Excellent,80.67571860227648,0.0006405373486862986
Wealthy,High School,3.4730512070564865,Excellent,1.004586397758454,Car,None,Minor,None,Negative,Some,Excellent,89.60838711631075,0.9400707841468225
Low Income,Some College,3.392474939264665,Poor,17.16384020807027,Walk,Moderate,Minor,None,Negative,,Toxic,73.08133502113617,
Middle Class,Bachelor,2.2306856976747893,Poor,21.422158249229344,Bus,,Minor,Low,Positive,Some,Toxic,62.90584837150266,0.35758115216034647
Wealthy,Bachelor,1.5115929485166,Fair,12.699133990117701,Walk,Moderate,None,Low,Negative,None,Fair,51.19514209095114,0.9349920837536669
Below Poverty,Bachelor,3.4712911287461683,Poor,6.03349963150091,Walk,Severe,None,None,Negative,Some,Fair,65.88581819637268,0.24594788144171098
Low Income,Less than HS,,Poor,25.09782891232055,Car,Severe,Minor,High,Positive,None,,77.16831696703207,0.12047817597965116
Below Poverty,Less than HS,2.3390699960528316,Good,22.6092718636229,,None,Minor,None,Positive,Active,Good,98.4795847383656,0.009780115435462089
Low Income,Some College,3.82336150879739,Fair,7.672640668340949,None,Severe,Minor,None,Neutral,Some,Good,94.5087194251434,0.32125078450195843
Upper Middle,Bachelor,3.078503435292339,Poor,5.20658539064362,Bus,Mild,Minor,None,,None,Poor,72.4026883355871,0.8547132703241863
Below Poverty,Graduate,3.7187512468833366,Fair,22.945565902897243,,Mild,Minor,High,Negative,None,Fair,67.50634925051175,0.40817785518493066
Wealthy,Some College,3.331424817942752,Excellent,17.00550238821358,Car,None,Minor,Moderate,Neutral,None,Excellent,54.659020620638586,0.35754007777455754
Wealthy,High School,3.0481034378653717,Excellent,6.596963744041988,Car,Mild,Major,Moderate,Negative,None,,81.95034547500434,0.25684705613043046
Upper Middle,Some College,3.7547590146947707,Excellent,,Bus,Severe,None,High,Negative,Some,Fair,74.74079255676793,
Middle Class,Some College,3.0207149306008647,Fair,5.221168079310586,Bus,Mild,Minor,High,Positive,Active,Fair,51.55248976716142,0.7367688501277507
Upper Middle,Bachelor,1.9379757087669434,Fair,21.188457645766054,Car,Severe,Major,Moderate,Positive,None,Toxic,58.988662170675205,0.3616032828412906
Below Poverty,Some College,3.6514395648876237,Fair,7.7873060505207325,Walk,Moderate,Minor,None,Negative,None,Fair,67.19115247142832,0.913593475859112
Wealthy,Some College,3.6370000716992164,Excellent,18.338013350510675,Walk,Moderate,None,None,Neutral,Some,Excellent,99.8564226060676,0.02906799084472611
Low Income,Bachelor,2.6556303668485626,Poor,12.23793305726465,Walk,None,None,Moderate,Negative,Some,Excellent,78.29830148820264,0.2601143991841792
Middle Class,Some College,1.5413167020884642,Good,7.462743777910596,None,Moderate,None,High,Positive,None,Poor,70.24481891991528,0.7118084999073899
Upper Middle,Less than HS,3.258368127615661,Fair,,Walk,,None,High,Negative,Active,Good,74.89001778671864,0.566781651879084
Below Poverty,Graduate,1.561529507886191,Poor,6.19405465470877,None,None,Major,Moderate,Neutral,None,Good,56.58243095848137,0.9180889221815179
Middle Class,Less than HS,3.4909427523269483,Good,20.68330288283492,Walk,Moderate,Minor,High,Neutral,Active,,87.32202311913255,0.1781325190336437
Low Income,Bachelor,2.625292327041789,Fair,26.452806246294827,None,None,Major,None,Neutral,Some,Excellent,93.37196173741411,
Low Income,Bachelor,3.501914787098093,Good,19.85456966872449,None,None,Major,Low,,Active,Toxic,90.08237755021206,0.3465930575240661
Below Poverty,Less than HS,2.1280449797287075,,26.55969368107082,Car,Mild,Major,Low,Neutral,None,Poor,98.62015292268498,0.4311937576673658
Upper Middle,Bachelor,2.525143845494213,Excellent,20.380286777917263,Walk,Severe,Major,Moderate,Neutral,Some,Poor,94.01127045181,0.9824454151156188
Upper Middle,Graduate,2.3220274398164973,Poor,19.319222207340072,,Mild,Minor,Moderate,Neutral,None,Excellent,73.29655263782325,0.3916164697625588
Upper Middle,Less than HS,2.550376749576542,Good,2.3145723000609477,None,Mild,Minor,Moderate,Positive,Some,Fair,51.96926062906463,0.2559892094242697
Upper Middle,,2.530557978159901,Good,5.992685863200609,None,Mild,None,None,Positive,,Poor,67.77725485105695,0.9855921783684005
Wealthy,Less than HS,3.3817263556805344,,13.764715851566804,Bus,Mild,Minor,High,Positive,Active,Good,56.223879485907815,0.9875652893919473
Low Income,Less than HS,3.8822115926071166,Excellent,5.2244019566571165,Bus,None,None,High,Positive,Some,Fair,90.16523618595612,0.7579408364155842
Middle Class,,3.3576685292619377,Fair,9.398197085729242,Bus,Mild,Minor,None,Neutral,,Fair,92.99220855238362,0.6700747250658797
,Some College,2.9798567725965923,Excellent,6.385337841516614,Car,Moderate,Major,None,Positive,Active,Excellent,70.39442250622733,0.7781084332891941
Below Poverty,Less than HS,2.570194612316885,Good,19.22039867859022,None,None,Major,Moderate,Negative,Active,Toxic,56.69547702185368,0.5169561043107196
Middle Class,Less than HS,3.9769325084469824,Fair,28.488349328033358,Bus,Mild,None,Moderate,Negative,Some,Toxic,88.19422560808574,0.18057120614691158
Below Poverty,Some College,1.824865543570327,Poor,25.661040352350703,Walk,Mild,None,High,Neutral,Active,Fair,67.89949638448377,0.49486604771381704
Wealthy,Graduate,3.141334597604211,Excellent,2.2032635915014174,Bus,Moderate,None,None,Negative,Some,Excellent,75.83478542200385,0.5072942680264106
Middle Class,Less than HS,2.1727771846770754,Poor,23.41450521862148,Walk,Severe,Major,High,Neutral,Some,Poor,50.80268211055481,0.8448351603670228
Wealthy,,3.3283700411862283,Excellent,5.434052382360066,Bus,None,None,High,Negative,Some,Good,90.43192932380921,0.21283942319151594
Middle Class,High School,2.1977140275990146,Good,10.22221458741315,None,Moderate,Minor,None,Negative,Active,Fair,98.20722183663102,0.5965849033937494
Upper Middle,Less than HS,1.928295801299976,Fair,22.161110759136644,Bus,Moderate,None,Moderate,Negative,Some,Fair,78.27742322046747,0.9893295923530826
Upper Middle,Less than HS,3.053003677892664,Excellent,13.111356672255603,Walk,Severe,Minor,,Negative,None,Fair,60.009013943415304,0.407861451348166
,Some College,3.7894477290207162,Fair,23.92861509330434,None,Severe,Minor,Moderate,Positive,Active,Fair,79.5945819146667,0.9262446705329945
Wealthy,Some College,2.526352899641742,Fair,27.03108639310064,Bus,Severe,Major,High,Neutral,Active,Good,96.44944003938654,0.42607938474376106
Wealthy,High School,2.5518909290555873,Fair,5.978137739494441,None,None,,High,Neutral,Some,Poor,67.77707063811957,0.9552621238652209
Middle Class,High School,3.1247723792753908,Excellent,5.6198545894412435,Walk,None,Minor,Low,,Active,Excellent,86.41716415325264,0.014901387639413177
Middle Class,Bachelor,3.2595548801027054,Poor,8.207113447854297,Bus,Moderate,None,High,Negative,None,Poor,92.29629035285875,0.20495935218534878
Wealthy,Graduate,2.123610342583651,Good,11.976029301849744,None,Severe,Minor,High,Negative,Active,Poor,58.205484339469706,0.6002591206707536
Upper Middle,Bachelor,3.308787846674175,Poor,8.526193409528178,Walk,Mild,None,None,Neutral,None,Excellent,72.84078822521614,0.998206709169798
Below Poverty,Some College,2.7003255980538934,Poor,,Bus,Moderate,,Low,Positive,Some,Poor,50.68828900550867,0.08522436838357794
Upper Middle,High School,3.811726281049778,Fair,26.463991283707347,None,Mild,Major,High,Neutral,None,Good,93.4400784355461,0.21102117741936244
Low Income,Bachelor,2.419455110074969,Good,1.4503118095585112,None,Mild,Major,High,Negative,Active,Excellent,83.14347647904115,0.5188712993473097
Low Income,Less than HS,2.4397307565063553,Good,5.957583440437205,Walk,Mild,Major,None,Negative,Active,,62.27374721996247,0.07507353500500513
Upper Middle,High School,3.9730890218575357,Excellent,16.044760166112432,,Severe,Minor,High,Positive,None,Poor,94.18131019357456,
Below Poverty,Less than HS,3.5714342141221582,Poor,13.166030336223132,Bus,Mild,Minor,Moderate,Positive,Some,Fair,52.88485368519184,0.9944920143951839
Wealthy,Some College,1.6241952193204279,Good,5.547653968947618,Bus,Moderate,Minor,Moderate,Positive,None,Fair,53.261861632003054,0.011938206610779711
Low Income,High School,2.5635043609569585,Excellent,24.88553428174305,Car,Moderate,Minor,None,Negative,None,Fair,59.547502269107284,0.1713029646908485
Middle Class,Less than HS,3.703277625350682,Good,2.503726015698239,None,Moderate,Minor,None,Negative,Active,Good,63.98514936752079,0.7515057626498841
Middle Class,Some College,3.66271610511638,Poor,24.80012760308152,Car,Severe,Major,None,Neutral,Active,Poor,84.76766531415932,0.9501426265658047
Low Income,High School,2.7454728358759617,Excellent,16.14579536618212,Bus,Severe,Major,High,Positive,None,Toxic,87.43651079385484,0.3087378457441815
Below Poverty,,3.7517495866019246,Excellent,22.009396752049376,Car,None,None,None,Neutral,None,Toxic,55.345557536586796,0.4917038330534934
Low Income,Bachelor,1.9517483382799317,Fair,25.443395467443636,None,Mild,Minor,,Neutral,Some,Fair,94.15305042063576,0.8203100467529253
Wealthy,Some College,3.3762093849292145,Fair,27.206764862529095,,Severe,Major,High,Neutral,None,Excellent,88.46888919030916,0.47429195840737004
Middle Class,Some College,2.993228671418728,Fair,21.69456838646982,Car,None,Minor,Moderate,Positive,Some,Excellent,82.38223078691686,0.9759424256145521
Below Poverty,Less than HS,2.5812993954864525,Excellent,4.7994375092962045,None,Moderate,None,Moderate,Neutral,None,Good,50.68114149931138,0.8997429858154832
Below Poverty,Less than HS,1.582789966876121,Fair,13.277424983426169,Bus,Mild,Minor,Low,Negative,Some,Poor,54.76992366529911,0.610762885770102
Below Poverty,Some College,1.6838585457187185,Good,2.494889944948855,Car,Severe,Minor,None,Negative,Some,Good,77.71989820975188,0.09753370212849577
Middle Class,Graduate,2.5862855072602358,Good,8.816363115552011,Car,Moderate,Minor,Low,Neutral,Active,Poor,89.39799116292056,0.07376691159863225
Upper Middle,Some College,2.144568381439981,Good,21.015069239556848,Car,Severe,Minor,Moderate,Positive,Active,Toxic,89.09976753091634,0.906494648693877
Wealthy,Less than HS,3.616032982154508,Fair,24.117327686063017,Walk,Severe,Minor,High,Positive,Active,Excellent,87.52156632369446,0.49524035100161057
Upper Middle,,3.222653095636698,Poor,22.79095945742466,Bus,Mild,None,None,Neutral,None,Fair,64.78558303437839,0.13633364573917361
Below Poverty,Some College,3.974678868477807,Good,6.087326418725732,None,Moderate,Major,None,Positive,Active,,56.56694402975355,0.5857934453176273
Low Income,High School,3.769631300442825,Fair,28.816881866918482,Walk,None,Minor,High,Positive,,Poor,53.04518714621915,0.5999648001156989
Upper Middle,Bachelor,3.2027968723489044,Excellent,25.309184390763043,Car,Mild,Major,Low,Negative,Active,Poor,74.59200440766395,0.7501736353110917
Low Income,Some College,2.214788870101323,Excellent,25.57662154596947,Car,Moderate,None,Low,Negative,Active,Toxic,72.2800963216142,0.47318256780457957
Middle Class,Some College,3.4145697124592993,Fair,9.738264263614616,Bus,Moderate,Major,None,Neutral,None,Excellent,80.72118365934585,0.30495692670296193
,High School,3.043009990370412,Excellent,2.8480391296314833,None,None,None,None,Positive,None,Toxic,80.30283908559073,0.1978386119889578
Middle Class,High School,3.59714555127288,Good,21.77182839514644,Walk,Moderate,Minor,High,Positive,None,Poor,92.12902271512527,0.9688424038807711
Below Poverty,Bachelor,3.4634340143092928,Poor,9.652094621762277,Walk,Moderate,Minor,Low,Negative,Some,Poor,88.55008716974623,0.5344784599951623
Low Income,Some College,2.7017047107912093,Good,15.425484504018796,Car,Mild,Minor,High,Negative,None,Excellent,79.86882061657266,
Low Income,Some College,2.118752347603019,Fair,2.835228701688042,,Mild,Minor,Moderate,Positive,Active,Excellent,97.6894745394094,0.05143671135243899
Upper Middle,Less than HS,1.909034609750008,Fair,8.107057784632536,Car,Mild,Minor,Moderate,Negative,Some,Poor,73.66217438653405,0.10020498844677017
Middle Class,Less than HS,3.9001621577686936,Excellent,25.05523552351693,None,Moderate,Minor,High,Negative,Some,Fair,97.7773100655088,0.7481368981882969
Upper Middle,Some College,2.0093214717514405,Good,14.297507221224915,None,None,Minor,Moderate,Neutral,Active,Excellent,61.8173591348338,0.6881349433057843
Below Poverty,Bachelor,3.9478973707857095,Good,13.311156535246187,Car,Moderate,Major,None,Neutral,Some,Excellent,99.59547295839741,0.37108264282816295
Below Poverty,Graduate,2.6177983394270967,Excellent,15.999503318943576,Walk,None,None,None,Negative,Some,Excellent,82.61304345986743,0.3268950332602898
Wealthy,Bachelor,,Good,5.400914368468598,Car,None,Minor,None,Positive,Some,,50.53225709343734,0.8630117265614533
Low Income,Bachelor,2.148333122513654,Excellent,9.323749222955536,,Severe,Minor,High,Positive,Active,Fair,63.07412936524407,0.9199338196070446
Upper Middle,Some College,3.508584006668409,Fair,10.145647341750834,Bus,Mild,Major,None,Neutral,Some,Poor,,0.7688461582449145
Middle Class,High School,,Poor,18.242885479136117,Bus,Mild,Major,High,Neutral,None,Poor,58.680484650562235,0.08381761300001633
Below Poverty,Some College,2.62584496092273,Fair,28.47736525418899,None,Moderate,None,None,Negative,None,Good,79.4980877972011,0.9120598629550263
Below Poverty,Some College,2.9767430840289193,Good,25.371539279248807,Car,,Minor,Low,Positive,Active,Fair,81.22064334950309,0.3530740490348777
Middle Class,Less than HS,1.600553296311618,Fair,13.224310564313557,Car,Mild,Minor,Low,Positive,None,Good,57.047718797918904,0.23595680244238704
Middle Class,Bachelor,2.010929369712434,Poor,26.363822312041545,Walk,Mild,Minor,None,,Some,Good,83.80064561599676,0.9325114464638465
Upper Middle,High School,3.7604606722704954,Fair,18.638093795179337,None,,Minor,Moderate,Positive,Active,Toxic,55.84438454869409,0.7588404584526941
Low Income,Bachelor,2.9214861485124515,Poor,1.3524319333481922,Walk,None,Minor,Low,Neutral,Active,Good,71.00671119013046,0.641195749250037
Low Income,Graduate,3.594984055768744,Fair,15.4853271506133,Walk,Severe,None,Moderate,Neutral,None,Toxic,69.6801233146021,0.4474798528692887
Wealthy,Graduate,3.700526997455549,Poor,7.051015769712106,Bus,None,,None,Positive,,Toxic,61.88691505704817,
Upper Middle,,2.741516077737393,Excellent,20.014972503449176,None,None,Major,Low,Neutral,None,Good,53.285544892125216,0.6301894455863346
Middle Class,High School,2.534912969514033,Poor,11.52094838269296,Bus,Mild,Minor,Low,Neutral,None,Excellent,60.63471506673636,0.9423081801223977
Wealthy,High School,1.9066731845704346,Excellent,24.87619862698196,Bus,Moderate,Minor,High,Negative,Active,Excellent,76.08291745576597,0.16556563176042394
Low Income,Graduate,3.1981027864264657,Good,,Bus,Severe,None,High,Positive,Some,Excellent,78.35937488974673,0.7349669394466087
Low Income,Less than HS,2.456007270454595,Fair,11.520125933203028,Car,Severe,Major,High,Neutral,Active,Good,51.10654258779695,0.39244115354139464
Middle Class,Less than HS,2.908162320341945,Excellent,15.230124882758048,Bus,Mild,Minor,High,Positive,None,Fair,91.66777280734954,0.9419692091878189
Upper Middle,Some College,2.969710261155674,Excellent,25.706904878699792,Car,Mild,Major,Low,Negative,None,Poor,93.7552302285271,0.27637392741222533
Below Poverty,,3.7003719936169537,Good,2.6545942528340083,,Mild,None,Moderate,Neutral,Active,Excellent,78.4591684229803,0.5015514129605997
Middle Class,Less than HS,2.6679935337656433,,16.346650486507215,None,Mild,Minor,High,Negative,None,Toxic,99.04930952301116,0.0774051108135293
Middle Class,Some College,2.8870064634039925,Excellent,18.86815580232182,Walk,None,None,High,Positive,None,Excellent,99.87732395609265,0.963624295707152
Wealthy,Some College,3.04642909540975,Good,8.95723658058063,Car,Moderate,Major,,Neutral,None,Good,,0.3575277379326737
Below Poverty,Bachelor,2.5390821968558743,Poor,13.585120534340826,Car,Mild,Major,None,Neutral,Active,Fair,98.12646648943019,0.4379144469065378
Low Income,Bachelor,1.8382308214375274,Excellent,17.17638075265175,Bus,None,Minor,Low,Negative,Active,Toxic,72.22666191160052,0.3205464012927982
Middle Class,Bachelor,2.6261071531496794,Excellent,5.9203443273926855,Bus,Moderate,Major,High,Positive,Some,Excellent,80.41682573287491,0.7275544674808967
Wealthy,Less than HS,1.641771780031539,Excellent,10.149584111033505,Walk,Severe,Major,Moderate,Positive,None,Good,65.39886973871843,0.9988934420976664
Low Income,Bachelor,1.9857639571518577,Fair,7.8260951827293,Bus,Moderate,Minor,Moderate,Positive,Active,Excellent,62.562911927947106,0.010800938968442031
Middle Class,Graduate,3.3656988308163114,Poor,22.55245422659072,Walk,,Major,Moderate,Negative,Active,Excellent,93.30575207614262,0.8375011721962022
Wealthy,Some College,3.0596720570852134,Excellent,20.54868857896677,Walk,Moderate,None,Moderate,Positive,None,Excellent,84.73728038359526,0.609602642907673
Upper Middle,Graduate,3.4793999147922126,Excellent,13.005087531477106,Walk,Severe,Major,High,Neutral,Some,Fair,92.19191638220724,0.197425221893185
Low Income,,3.0975176227239563,Good,,Car,Moderate,None,Low,Neutral,Active,Poor,51.81584772009707,0.07644495771103677
Low Income,Bachelor,2.6815599618239867,Poor,23.422100001318842,None,None,None,Moderate,Positive,Active,Excellent,98.5458397664083,0.05610868810801828
Wealthy,High School,2.29118545509815,,16.262901247742946,Car,None,Major,Moderate,Negative,None,Poor,80.19781805638084,0.4125876819870412
Wealthy,Less than HS,2.7942550172784237,Fair,19.04517875925771,,Mild,Major,High,Neutral,None,,83.41394075308227,0.7843372615750527
Wealthy,Bachelor,3.3567964047203396,Fair,17.869641433853282,Walk,Mild,Major,None,Positive,Some,Toxic,54.72840980568102,0.16000110119764688
Upper Middle,Bachelor,1.5337772655791801,Good,28.581793630839325,Walk,None,Major,Moderate,Negative,None,Fair,71.96362037907619,0.4810587194972583
Middle Class,Bachelor,1.9933248013819878,Fair,23.102324388148837,Walk,Severe,Minor,None,Negative,Some,Fair,75.69623538417595,0.05919627693428464
Middle Class,Less than HS,1.7109967210873178,Poor,,Walk,Mild,None,Moderate,Negative,Active,Toxic,93.54985661156488,0.2951939561464153
Below Poverty,Less than HS,2.647930765036797,Excellent,26.958654238773903,None,Moderate,None,Low,Negative,Active,Good,53.78138166061473,0.5728882274869115
Middle Class,Less than HS,2.697291694228036,Good,3.7998566142773984,Bus,Mild,None,Low,Neutral,Active,,70.07446302229253,0.4839570568395035
Upper Middle,Less than HS,3.0817623609937455,Fair,1.1908023633967524,None,None,None,Moderate,Neutral,Some,Excellent,71.21520077547191,0.2706318059311177
Middle Class,Less than HS,2.698123507730421,Poor,4.30048850850265,Walk,Moderate,Minor,Low,Positive,Active,Poor,82.8345268920892,0.16985025424731615
Wealthy,Graduate,3.7535171117838284,Excellent,3.17927733252762,Car,Mild,Minor,Moderate,Neutral,None,Toxic,85.98324744689904,0.303061773878193
Wealthy,High School,3.1560839554533766,Excellent,24.860816361089704,Bus,None,None,Low,Negative,None,Good,79.97026601837293,0.14423900230271713
,High School,3.9534114879463456,Good,17.717863247187815,Walk,None,None,Low,Neutral,,Excellent,81.02106372843971,0.8056214247148638
Middle Class,,2.758597046108683,Good,2.6728976187302225,Car,Severe,Major,,Neutral,Some,Fair,51.467892196612574,0.9807728978108577
Low Income,Graduate,2.0867935585035906,Excellent,26.862855184457235,Bus,None,Minor,Low,Neutral,Active,Good,70.86750087756981,0.14211142183810255
Low Income,Less than HS,3.1900207693236613,Excellent,4.062913494775915,None,None,None,None,Positive,None,Toxic,68.55194846593693,0.02633016692684187
Middle Class,Bachelor,1.6929134480744155,Fair,27.14484642976629,None,Severe,None,None,Positive,Active,Excellent,70.653929865856,0.790674272888855
Middle Class,Less than HS,3.9142260445486614,Excellent,6.893183211705875,Car,Severe,Major,High,Positive,None,Good,80.4690151280927,0.28161102497241597
Below Poverty,High School,3.252182957401227,Excellent,1.0227857124175008,Bus,Severe,None,Low,Positive,None,Good,98.07532374084515,0.18385153959939815
Wealthy,Bachelor,2.0906405127274055,Fair,8.235071568157704,None,Mild,Minor,High,,Some,Excellent,75.78071539880636,0.7407915370569805
Upper Middle,Less than HS,3.7096125192953657,Excellent,4.04357561144642,Walk,Mild,Major,Moderate,Neutral,None,,63.13548673472732,0.6372209445500151
Low Income,Some College,1.5092929532249162,Good,27.361489527101458,Walk,Severe,Major,None,Negative,Active,Fair,58.24293786941581,0.30201884260915846
Wealthy,Bachelor,1.9685157402580196,Poor,16.613826542537534,Bus,Mild,Minor,Moderate,Positive,Some,Toxic,64.95962077543372,0.9537553899783282
Middle Class,Graduate,3.550024460126761,Fair,8.570888095607971,Bus,None,None,None,Negative,None,Poor,86.7595485399169,0.10266263256858532
Upper Middle,Less than HS,,Poor,8.016793857753516,Car,None,Minor,Moderate,Negative,,,54.617258624652415,0.5771448375360797
Below Poverty,Some College,2.250309950803747,Excellent,11.090315802832276,Car,,None,None,Positive,Some,Fair,69.49053696646851,0.27116616536522153
Below Poverty,Some College,3.912518918539304,Excellent,11.244507657027397,Bus,Mild,Major,,Negative,None,Toxic,82.31292273987778,0.942611582475718
Middle Class,,,Fair,20.31649014003876,Walk,Moderate,Major,Moderate,Positive,Active,Good,73.0377651664914,0.8938585804775618
Wealthy,Some College,3.8414854568294095,Good,28.389934075812363,,None,None,High,Negative,,Good,64.24690933044074,0.04551045079062943
Low Income,High School,,Fair,12.930007879706242,Car,Mild,Minor,Low,Positive,Some,Good,50.66798048542632,0.7461688593958622
Upper Middle,Some College,2.9958720888290458,Poor,28.984062856707297,Car,Severe,None,Low,Negative,None,Fair,79.30534033978141,0.9904514971418273
Middle Class,Graduate,1.6728545467446307,Poor,6.72619947623178,Bus,Moderate,Major,High,Negative,None,Poor,72.63047169835,0.75498147269797
Upper Middle,,2.4889179838511426,Excellent,16.558949200243593,None,Moderate,Minor,Low,Neutral,Active,Toxic,65.97209395438078,0.11070191551685515
Wealthy,High School,3.373944921388528,Poor,19.131484139025723,Bus,Mild,Minor,Low,Positive,Active,Excellent,67.79439252034008,0.608405271158052
Upper Middle,Some College,1.8064739126212164,Good,26.920035375395106,None,None,None,Moderate,Negative,None,Good,57.792526075056884,0.5697976024391984
Low Income,Less than HS,2.4313803435272527,Good,3.2497295112402305,None,Severe,Major,None,Negative,Active,Poor,70.4917065184193,0.34133607651326003
Upper Middle,Graduate,3.586622933611314,Good,19.96010498534051,None,Severe,,None,Neutral,Some,Toxic,88.8269371525048,0.27931654037278664
,Less than HS,,Good,5.145198169611342,Car,Severe,Major,Moderate,,Active,,88.32587556862038,0.5117242397583753
Wealthy,Less than HS,3.7393254340293804,Fair,22.471517455297192,Walk,Moderate,Major,Low,Positive,Active,Good,64.12816489497322,
Middle Class,Less than HS,3.1919290275856227,Good,14.94688444969567,None,,None,Moderate,,None,Excellent,64.36447287129624,0.9230465172331788
Wealthy,High School,2.8895273411861178,Poor,22.272715785271266,Walk,Severe,Minor,None,Neutral,Active,,67.50143762064039,0.32095049935775743
Low Income,Bachelor,3.8599097880341686,Excellent,1.5410384071309329,None,Moderate,None,Low,Neutral,Active,Excellent,96.50219899955769,0.19229571937183998
,,2.8400319736150883,Excellent,24.505654135958498,Walk,Severe,Minor,High,Positive,None,Toxic,64.9879877124355,0.5126152517581374
Below Poverty,Some College,2.9149421945766836,Fair,26.789877936679318,None,Severe,None,Low,Negative,None,Fair,55.50388482877691,0.5115527687954874
Middle Class,Less than HS,3.7740330261821535,Excellent,6.858432224346179,None,Mild,,Low,Neutral,Some,Fair,93.69195553146048,
Upper Middle,Bachelor,3.1175477375547422,Fair,11.763654437614472,Bus,Mild,Major,High,Negative,Active,Toxic,86.32515022915406,0.4040013358323311
Wealthy,Bachelor,2.0650690738419675,Poor,12.154887904962983,None,None,Major,None,Neutral,None,Poor,53.90642404460155,0.639299365932345
Middle Class,Less than HS,1.5097617116472053,Good,22.203182123814116,Walk,Moderate,None,High,Neutral,None,,94.21906514152596,0.1627875791398109
Middle Class,High School,2.6650621757859607,Poor,15.563818069804054,Walk,Severe,Minor,Low,Neutral,,Fair,93.61257870171437,0.29798546489413913
Below Poverty,High School,3.21158618763452,Good,,Car,Severe,Minor,Low,Negative,Active,Excellent,63.01535992376853,0.6853167613446679
,Some College,2.430463710087013,Excellent,4.23352134581419,Car,Mild,Minor,Low,Positive,None,Toxic,52.92610693542973,0.8317805018183339
Upper Middle,Less than HS,3.595322828104939,Poor,24.511211293732497,Car,Mild,,None,Neutral,Active,Toxic,80.90373048004612,0.744598218159858
Below Poverty,Graduate,3.4674754834082853,Excellent,,Car,None,,Moderate,Neutral,None,Good,71.763846363448,
Upper Middle,Some College,2.499449394758685,Fair,2.384219379923015,Car,Mild,Major,None,Negative,None,Toxic,98.6317129539747,0.8505556110036888
Low Income,Bachelor,3.2177568588799197,Poor,4.084980330817512,None,,Major,None,Positive,None,Good,76.90478598455965,0.4376470850022418
Low Income,High School,3.6382320915426725,Fair,26.61943098033682,,Severe,Major,High,Positive,None,Excellent,74.37558436465594,0.9050405019045529
Below Poverty,Graduate,3.6743300599734545,Excellent,24.757558018772766,Bus,None,None,None,Neutral,None,Fair,82.54131314177133,0.3985094435797131
Wealthy,Some College,3.8872498319870243,Fair,26.739621703544252,Bus,Mild,Major,High,Positive,Active,Fair,90.14435547369294,0.23214351473367045
Middle Class,Some College,3.394118078902602,Excellent,8.41403683894211,Car,Severe,None,None,,Some,Toxic,98.0800428103508,0.6238824230519191
Middle Class,Less than HS,2.5979939638883094,,9.321922557389566,Bus,Mild,Minor,High,Neutral,Active,,95.52688710264036,0.9746646570998471
Below Poverty,Bachelor,3.6490669799255637,Good,18.13880700516332,Bus,Severe,Minor,Moderate,Negative,Some,Toxic,72.61478153713645,0.7889591489597574
Middle Class,Some College,2.3118365331749215,Excellent,15.266797969761923,None,Severe,Major,High,Negative,Some,Toxic,85.86095252629897,0.6469362197355417
Low Income,Some College,1.7212316944367636,,24.02892843859261,None,Severe,Minor,Low,Neutral,Active,Excellent,99.01140011766543,0.8118129730863481
Wealthy,Bachelor,1.961340675700418,Good,,Walk,None,None,None,,Some,Excellent,50.43611885975598,0.06965772483348764
Middle Class,Less than HS,3.525476499630372,Excellent,13.41849337746936,Walk,None,None,High,Negative,Some,Toxic,52.98300478374251,
Upper Middle,High School,3.7515472132969077,Excellent,11.147246907521552,None,Moderate,None,Moderate,Negative,Some,Toxic,69.474225457904,0.7047419845216994
Middle Class,Graduate,3.4626161420958734,Good,10.735707988516133,Car,Mild,Minor,High,Negative,Active,Fair,78.10608948711813,0.4090410513890218
Middle Class,Some College,2.1241083984281204,Poor,16.663200722306932,Car,None,None,Moderate,Negative,Active,Fair,93.26523294016206,
Low Income,High School,2.9203195205146484,Excellent,15.266885112706676,Bus,None,None,High,Neutral,,Good,53.98972647967104,0.10772241780360059
Wealthy,Less than HS,2.251671024605918,Fair,26.640501753739276,Car,Moderate,Minor,Low,Negative,None,Good,76.17356945904483,0.3731698532447557
Upper Middle,High School,3.7240203715315525,Good,18.26811348033753,,Mild,Minor,Moderate,Negative,None,Excellent,,0.6578661055571559
Low Income,Some College,,Fair,15.648043484460633,,None,Major,None,Negative,Some,Poor,,0.15125573598533026
Middle Class,Less than HS,3.353960491721228,Fair,13.030518836088312,Walk,Severe,None,Moderate,Negative,Active,Poor,95.7359476363674,0.4103493714812225
